date,rides
2019-11-16,5886
2019-11-17,4739
2019-11-18,7434
2019-11-19,9188
2019-11-20,9084
2019-11-21,9157
2019-11-22,7519
2019-11-23,4730
2019-11-24,4791
2019-11-25,8371
2019-11-26,9104
2019-11-27,6250
2019-11-28,2196
2019-11-29,4290
2019-11-30,4032
2019-12-01,1566
2019-12-02,6256
2019-12-03,8123
2019-12-04,7926
2019-12-05,8426
2019-12-06,8335
2019-12-07,6043
2019-12-08,5360
2019-12-09,4882
2019-12-10,6242
2019-12-11,7166
2019-12-12,7312
2019-12-13,4624
2019-12-14,3942
2019-12-15,5320
2019-12-16,3185
2019-12-17,5749
2019-12-18,6733
2019-12-19,5406
2019-12-20,5693
2019-12-21,3331
2019-12-22,3245
2019-12-23,4526
2019-12-24,2937
2019-12-25,2005
2019-12-26,3773
2019-12-27,4916
2019-12-28,6282
2019-12-29,1409
2019-12-30,5419
2019-12-31,5746
2020-01-01,4135
2020-01-02,6969
2020-01-03,5048
2020-01-04,3979
2020-01-05,3864
2020-01-06,7310
2020-01-07,5094
2020-01-08,6602
2020-01-09,6562
2020-01-10,7455
2020-01-11,8474
2020-01-12,8347
2020-01-13,8193
2020-01-14,6559
2020-01-15,9281
2020-01-16,7685
2020-01-17,6303
2020-01-18,2281
2020-01-19,3941
2020-01-20,3535
2020-01-21,6004
2020-01-22,6820
2020-01-23,7286
2020-01-24,7913
2020-01-25,5048
2020-01-26,5241
2020-01-27,7193
2020-01-28,7574
2020-01-29,7888
2020-01-30,7373
2020-01-31,7012
2020-02-01,5717
2020-02-02,5289
2020-02-03,8744
2020-02-04,8202
2020-02-05,6877
2020-02-06,4257
2020-02-07,5211
2020-02-08,5634
2020-02-09,5859
2020-02-10,3270
2020-02-11,5933
2020-02-12,6708
2020-02-13,5251
2020-02-14,5924
2020-02-15,3797
2020-02-16,5079
2020-02-17,6103
2020-02-18,7791
2020-02-19,7675
2020-02-20,6833
2020-02-21,5883
2020-02-22,6628
2020-02-23,7055
2020-02-24,7755
2020-02-25,5764
2020-02-26,7379
2020-02-27,6415
2020-02-28,6813
2020-02-29,4055
2020-03-01,5322
2020-03-02,7666
2020-03-03,7651
2020-03-04,9127
2020-03-05,8377
2020-03-06,6932
2020-03-07,6193
2020-03-08,7513
2020-03-09,9803
2020-03-10,8697
2020-03-11,8505
2020-03-12,7930
2020-03-13,7211
2020-03-14,6045
2020-03-15,3339
2020-03-16,3941
2020-03-17,3908
2020-03-18,3819
2020-03-19,4559
2020-03-20,4809
2020-03-21,5210
2020-03-22,4424
2020-03-23,1059
2020-03-24,2679
2020-03-25,940
2020-03-26,2815
2020-03-27,3192
2020-03-28,2293
2020-03-29,4171
2020-03-30,2901
2020-03-31,1499
2020-04-01,1763
2020-04-02,2080
2020-04-03,2486
2020-04-04,3152
2020-04-05,4436
2020-04-06,2864
2020-04-07,1968
2020-04-08,3196
2020-04-09,1904
