;station_name;station_id;lat;lon
100;Walter Reed Dr & 8th St S;31096;38.86612;-77.08787
101;East West Hwy & 16th St;32056;38.995681;-77.038721
102;Hardy Rec Center;31326;38.9097;-77.085646
103;Edgewood Rec Center;31529;38.923984166666656;-77.00208183333334
104;15th St & Massachusetts Ave SE;31626;38.88732;-76.98356899999999
105;Lee Hwy & N Woodstock St;31900;38.898301000000004;-77.118009
106;N Quincy St & Glebe Rd;31035;38.876393;-77.10773499999999
107;Eads St & 22nd St S;31013;38.85438;-77.053411
108;11th & Girard St NW;31126;38.925636;-77.027112
109;North Capitol & R St NE;31527;38.912487166666665;-77.00884416666666
110;Wilson Blvd & N Quincy St;31039;38.880012;-77.107854
111;Wilson Blvd & N Edgewood St;31019;38.889063666666665;-77.09256616666667
112;8th & K St NE;31660;38.902732;-76.995149
113;Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St;31068;38.856495833333334;-77.1117645
114;14th & D St SE;31663;38.884058;-76.986385
115;Potomac Ave & Half St SW;31648;38.870406;-77.010446
116;13th St & New York Ave NW;31227;38.90032883333333;-77.03002566666666
117;N Roosevelt St & Roosevelt Blvd;32606;38.878085;-77.153953
118;New Hampshire Ave & 24th St NW;31275;38.901755;-77.051084
119;Connecticut Ave & R St NW;31299;38.912644;-77.04564
120;Pennsylvania & Minnesota Ave SE;31805;38.87312583333333;-76.97101716666667
121;New Hampshire & Kirklynn Ave;32061;38.988101;-76.988422
122;Carroll & Ethan Allen Ave;32026;38.977933;-77.006472
123;15th & F St NE;31632;38.897195;-76.983575
124;Washington-Liberty High School / N Stafford St & Generals Way;31920;38.888282000000004;-77.11106600000001
125;18th St & Wyoming Ave NW;31114;38.918809;-77.04157099999999
126;Friendship Blvd & Willard Ave;32040;38.96115;-77.08865899999999
127;22nd & I St NW / Foggy Bottom;31257;38.90088;-77.048911
128;19th & East Capitol St SE;31601;38.8896;-76.9769
129;Mount Vernon Ave & E Nelson Ave;31085;38.820064;-77.05761899999999
130;8th & F St NE;31631;38.897273999999996;-76.994749
131;Library St & Freedom Dr;32216;38.959633000000004;-77.35874100000001
132;Capitol Heights Metro;32419;38.888524;-76.913188
133;Lee Hwy & N Kirkwood Rd;31094;38.895314;-77.09732833333334
134;Fenton St & New York Ave ;32001;38.985403999999996;-77.02308199999999
135;2nd & G St NE;31639;38.89967;-77.00366600000001
136;Clarendon Metro / Wilson Blvd & N Highland St;31022;38.887859999999996;-77.094875
137;1st & Washington Hospital Center NW;31507;38.928743;-77.012457
138;Lee Hwy & N Monroe St;31092;38.896421999999994;-77.10451233333333
139;18th & R St NW;31278;38.912648;-77.041834
140;N Veitch St & 20th St N;31029;38.896923;-77.086502
141;Fallsgrove Dr & W Montgomery Ave;32016;39.099376;-77.188014
142;Key West Ave & Great Seneca Hwy;32070;39.105641999999996;-77.20385999999999
143;Ballenger Ave & Dulaney St;31084;38.802677;-77.063562
144;11th & C St SE;31659;38.885908;-76.991476
145;Good Hope Rd & MLK Ave SE;31802;38.867373;-76.988039
146;Westpark & Jones Branch Dr;32205;38.924437;-77.217664
147;Convention Center / 7th & M St NW;31223;38.905737;-77.02226999999999
148;8th & D St NW;31270;38.894851;-77.02324
149;3rd St & Pennsylvania Ave SE;31269;38.887378000000005;-77.00195500000001
150;14th St & New York Ave NW;31216;38.899632000000004;-77.031686
151;Lee Center;31914;38.797557;-77.05376600000001
152;Jones Branch & Westbranch Dr;32206;38.931911;-77.219261
153;Traville Gateway Dr & Gudelsky Dr;32005;39.093783;-77.202501
154;10th & G St NW;31274;38.898243;-77.026235
155;Washington Blvd & N Frederick St;31901;38.884828999999996;-77.12767099999999
156;Washington Blvd & 10th St N;31026;38.884734;-77.093485
157;Carlin Springs Rd & N Thomas St;31919;38.876695;-77.11298199999999
158;N Oak St & W Broad St;32602;38.88837;-77.17983199999999
159;15th St & N Scott St;31031;38.89054;-77.08095
160;Wilson Blvd & N Illinois St ;31902;38.876528;-77.12711999999999
161;E Fairfax St & S Washington St;32604;38.88057966666667;-77.17190500000001
162;Rhode Island Ave Metro;31516;38.920682;-76.995876
163;Anacostia Metro;31801;38.862669;-76.994637
164;Potomac Ave & 8th St SE;31635;38.876737;-76.99446800000001
165;N Veitch St & Key Blvd;31028;38.89326;-77.08607416666666
166;31st & Water St NW;31293;38.902814;-77.06104300000001
167;Nannie Helen Burroughs & Minnesota Ave NE;31704;38.901385;-76.941877
168;John McCormack Dr & Michigan Ave NE;31502;38.9346;-76.9955
169;14th & Belmont St NW;31119;38.921074;-77.031887
170;D St & Maryland Ave NE;31612;38.8947755;-76.99737033333334
171;Wisconsin Ave & Newark St NW;31302;38.934881;-77.072755
172;Eastern Market Metro / Pennsylvania Ave & 7th St SE;31613;38.884;-76.995397
173;1st & H St NW;31638;38.90035566666667;-77.012074
174;10th & Florida Ave NW;31120;38.920387;-77.025672
175;Grant Circle;31421;38.942023999999996;-77.018221
176;24th & N St NW;31255;38.90657466666666;-77.0512835
177;Hamlin & 7th St NE;31514;38.927523666666666;-76.99726516666666
178;Connecticut Ave & Tilden St NW;31313;38.941122166666666;-77.06194166666667
179;14th & Rhode Island Ave NW;31203;38.9086;-77.0323
180;14th & Irving St NW;31124;38.928552;-77.032224
181;Georgia Ave and Fairmont St NW;31207;38.9249;-77.0222
182;1st & N St  SE;31209;38.8743;-77.0057
